what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383100797113
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383100798417
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.export",1383100798423
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383100800981
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383100838488
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1383100838498
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383100840930
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383100842336
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383100842411
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.ide.ant",1383100842667
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1383100842693
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1383100842718
stopped,bundle,org.eclipse.mylyn.java.tasks,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.tasks",1383100842725
